	0	1
SRR3106772	1.0	0.0
SRR3106773	1.0	0.0
SRR3106774	1.0	0.0
SRR3106775	1.0	0.0
SRR3106776	1.0	0.0
SRR3106777	1.0	0.0
SRR3106778	1.0	0.0
SRR3106779	1.0	0.0
SRR3106780	1.0	0.0
SRR3106781	1.0	0.0
SRR3106782	1.0	0.0
SRR3106783	1.0	0.0
SRR3106784	0.0	1.0
SRR3106785	1.0	0.0
SRR3106786	1.0	0.0
SRR3106787	1.0	0.0
SRR3106788	1.0	0.0
SRR3106789	0.0	1.0
SRR3106790	1.0	0.0
SRR3106791	0.0	1.0
SRR3106792	1.0	0.0
SRR3106793	1.0	0.0
SRR3106794	1.0	0.0
SRR3106795	1.0	0.0
SRR3106796	0.0	1.0
SRR3106797	1.0	0.0
SRR3106798	1.0	0.0
SRR3106799	1.0	0.0
SRR3106800	1.0	0.0
SRR3106801	1.0	0.0
SRR3106802	1.0	0.0
SRR3106803	0.0	1.0
SRR3106804	0.0	1.0
SRR3106805	0.0	1.0
SRR3106806	0.0	1.0
SRR3106807	0.0	1.0
SRR3106808	0.0	1.0
SRR3106809	0.0	1.0
SRR3106810	0.0	1.0
SRR3106811	0.0	1.0
SRR3106812	0.0	1.0
SRR3106813	0.0	1.0
SRR3106814	0.0	1.0
SRR3106815	0.0	1.0
SRR3106816	0.0	1.0
SRR3106817	0.0	1.0
SRR3106818	0.0	1.0
SRR3106819	1.0	0.0
SRR3106820	1.0	0.0
SRR3106821	1.0	0.0
SRR3106822	0.0	1.0
SRR3106823	0.0	1.0
SRR3106824	0.0	1.0
SRR3106825	0.0	1.0
SRR3106826	0.0	1.0
SRR3106827	0.0	1.0
SRR3106828	0.0	1.0
SRR3106829	0.0	1.0
SRR3106830	0.0	1.0
SRR3106831	0.0	1.0
SRR3106832	0.0	1.0
SRR3106833	1.0	0.0
SRR3106834	0.0	1.0
SRR3106835	0.0	1.0
SRR3106836	0.0	1.0
SRR3106837	0.0	1.0
SRR3106838	0.0	1.0
SRR3106839	0.0	1.0
SRR3106840	0.0	1.0
SRR3106841	0.0	1.0
SRR3106842	0.0	1.0
SRR3106843	0.0	1.0
SRR3106844	0.0	1.0
SRR3106845	0.0	1.0
SRR3106846	0.0	1.0
SRR3106847	0.0	1.0
SRR3106848	0.0	1.0
SRR3106849	0.0	1.0
SRR3106850	1.0	0.0
SRR3106851	0.0	1.0
SRR3106852	0.0	1.0
SRR3106853	1.0	0.0
SRR3106854	0.0	1.0
SRR3106855	0.0	1.0
SRR3106856	0.0	1.0
SRR3106857	0.0	1.0
