	0	1
SRR3106772	3	1
SRR3106773	2	2
SRR3106774	2	2
SRR3106775	3	1
SRR3106776	2	2
SRR3106777	2	2
SRR3106778	3	1
SRR3106779	2	2
SRR3106780	3	1
SRR3106781	2	2
SRR3106782	2	2
SRR3106783	3	1
SRR3106784	3	1
SRR3106785	3	1
SRR3106786	2	2
SRR3106787	2	2
SRR3106788	3	1
SRR3106789	3	1
SRR3106790	1	3
SRR3106791	2	2
SRR3106792	3	1
SRR3106793	2	2
SRR3106794	2	2
SRR3106795	1	3
SRR3106796	1	3
SRR3106797	2	2
SRR3106798	3	1
SRR3106799	3	1
SRR3106800	2	2
SRR3106801	2	2
SRR3106802	2	2
SRR3106803	2	2
SRR3106804	2	2
SRR3106805	3	1
SRR3106806	2	2
SRR3106807	2	2
SRR3106808	2	2
SRR3106809	2	2
SRR3106810	2	2
SRR3106811	3	1
SRR3106812	3	1
SRR3106813	3	1
SRR3106814	2	2
SRR3106815	3	1
SRR3106816	3	1
SRR3106817	2	2
SRR3106818	2	2
SRR3106819	3	1
SRR3106820	3	1
SRR3106821	2	2
SRR3106822	3	1
SRR3106823	2	2
SRR3106824	3	1
SRR3106825	3	1
SRR3106826	2	2
SRR3106827	2	2
SRR3106828	2	2
SRR3106829	2	2
SRR3106830	3	1
SRR3106831	3	1
SRR3106832	2	2
SRR3106833	2	2
SRR3106834	2	2
SRR3106835	2	2
SRR3106836	2	2
SRR3106837	2	2
SRR3106838	3	1
SRR3106839	3	1
SRR3106840	3	1
SRR3106841	2	2
SRR3106842	1	3
SRR3106843	2	2
SRR3106844	1	3
SRR3106845	3	1
SRR3106846	2	2
SRR3106847	3	1
SRR3106848	3	1
SRR3106849	3	1
SRR3106850	2	2
SRR3106851	3	1
SRR3106852	3	1
SRR3106853	3	1
SRR3106854	3	1
SRR3106855	1	3
SRR3106856	3	1
SRR3106857	2	2
