source	native	name	p_value	significant	description	term_size	query_size	intersection_size	effective_domain_size	precision	recall	query	parents
GO:BP	GO:0044281	small molecule metabolic process	1.6555886524268857e-35	True	"""The chemical reactions and pathways involving small molecules, any low molecular weight, monomeric, non-encoded molecule."" [GOC:curators, GOC:pde, GOC:vw]"	1776	5569	711	21026	0.12767103609265576	0.40033783783783783	query_1	['GO:0008152']
GO:BP	GO:0006810	transport	1.4794263689728613e-29	True	"""The directed movement of substances (such as macromolecules, small molecules, ions) or cellular components (such as complexes and organelles) into, out of or within a cell, or between cells, or within a multicellular organism by means of some agent such as a transporter or a transporter complex, a pore or a motor protein."" [GOC:dos, GOC:dph, GOC:jl, GOC:mah]"	4407	5569	1483	21026	0.2662955647333453	0.3365100975720445	query_1	['GO:0051234']
GO:BP	GO:0051179	localization	3.928288983541594e-27	True	"""Any process in which a cell, a substance, or a cellular entity, such as a protein complex or organelle, is transported, tethered to or otherwise maintained in a specific location. In the case of substances, localization may also be achieved via selective degradation."" [GOC:ai, GOC:dos]"	5555	5569	1798	21026	0.32285868198958523	0.32367236723672366	query_1	['GO:0008150']
GO:BP	GO:0006796	phosphate-containing compound metabolic process	5.240712156707413e-25	True	"""The chemical reactions and pathways involving the phosphate group, the anion or salt of any phosphoric acid."" [GOC:ai]"	2407	5569	868	21026	0.15586281199497218	0.3606148732862484	query_1	['GO:0006793']
GO:BP	GO:0006793	phosphorus metabolic process	8.38905175725134e-25	True	"""The chemical reactions and pathways involving the nonmetallic element phosphorus or compounds that contain phosphorus."" [GOC:ai]"	2410	5569	868	21026	0.15586281199497218	0.36016597510373444	query_1	['GO:0008152']
GO:BP	GO:0048518	positive regulation of biological process	7.397434789702115e-24	True	"""Any process that activates or increases the frequency, rate or extent of a biological process. Biological processes are regulated by many means; examples include the control of gene expression, protein modification or interaction with a protein or substrate molecule."" [GOC:jid]"	6264	5569	1977	21026	0.355000897827258	0.31561302681992337	query_1	['GO:0008150', 'GO:0050789']
GO:BP	GO:0048522	positive regulation of cellular process	3.1442633037081827e-23	True	"""Any process that activates or increases the frequency, rate or extent of a cellular process, any of those that are carried out at the cellular level, but are not necessarily restricted to a single cell. For example, cell communication occurs among more than one cell, but occurs at the cellular level."" [GOC:jid]"	5920	5569	1877	21026	0.337044352666547	0.31706081081081083	query_1	['GO:0009987', 'GO:0048518', 'GO:0050794']
GO:BP	GO:0006996	organelle organization	1.0941197572779745e-22	True	"""A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of an organelle within a cell. An organelle is an organized structure of distinctive morphology and function. Includes the nucleus, mitochondria, plastids, vacuoles, vesicles, ribosomes and the cytoskeleton. Excludes the plasma membrane."" [GOC:mah]"	3594	5569	1210	21026	0.21727419644460405	0.33667223149693937	query_1	['GO:0016043']
GO:BP	GO:0051234	establishment of localization	3.416149557464645e-22	True	"""Any process that localizes a substance or cellular component. This may occur via movement, tethering or selective degradation."" [GOC:ai, GOC:dos]"	4928	5569	1591	21026	0.28568863350691326	0.322849025974026	query_1	['GO:0051179']
GO:BP	GO:0065007	biological regulation	2.5538593382512157e-21	True	"""Any process that modulates a measurable attribute of any biological process, quality or function."" [GOC:dph, GOC:isa_complete, GOC:mah, GOC:pr, GOC:vw]"	12743	5569	3692	21026	0.662955647333453	0.2897276936357216	query_1	['GO:0008150']
